security_id,ticker,candidate_source,exchange,feature_complete,market_feature_ready_v2,latest253_complete,full_history_status,missing_required_features,history_start_date,history_observations,lookback_observations,missing_count,identity_status,relevant_na_reason_entries,primary_market_blocker,all_market_blockers
KBS:UPCOM:AAH,AAH,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2024-01-11,652,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:AIG,AIG,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2024-11-11,444,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:AVG,AVG,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2024-08-09,509,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BGE,BGE,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2024-07-31,513,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BHH,BHH,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,UNCERTAIN_BOUNDARY,,2025-06-09,308,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined"",""trading_status"":""missing_or_not_normal""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BMK,BMK,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2024-12-26,409,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:DKG,DKG,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2025-04-22,330,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined"",""trading_status"":""missing_or_not_normal""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:DSE,DSE,C7_COMPLETE_EXPANSION,HOSE,True,False,True,INCOMPLETE,,2024-07-01,540,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:F88,F88,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,UNCERTAIN_BOUNDARY,,2025-08-08,264,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:GDA,GDA,C7_COMPLETE_EXPANSION,UPCOM,True,False,True,INCOMPLETE,,2023-09-07,731,253,0,provisional,"{""historical_identity"":""provisional_observed_interval_only"",""history"":""minimum_3_calendar_years_of_observed_data"",""listing_age_days"":""insufficient_window_gap_unavailable_or_undefined""}",INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
