view,latest253_complete,feature_complete,market_feature_ready_v2,security_count
LATEST_X_FEATURE_X_MARKET,True,True,True,905
LATEST_X_FEATURE_X_MARKET,True,True,False,17
LATEST_X_FEATURE_X_MARKET,True,False,True,0
LATEST_X_FEATURE_X_MARKET,True,False,False,0
LATEST_X_FEATURE_X_MARKET,False,True,True,0
LATEST_X_FEATURE_X_MARKET,False,True,False,0
LATEST_X_FEATURE_X_MARKET,False,False,True,0
LATEST_X_FEATURE_X_MARKET,False,False,False,30
LATEST_X_MARKET,True,,True,905
LATEST_X_MARKET,True,,False,17
LATEST_X_MARKET,False,,True,0
LATEST_X_MARKET,False,,False,30
FEATURE_X_MARKET,,True,True,905
FEATURE_X_MARKET,,True,False,17
FEATURE_X_MARKET,,False,True,0
FEATURE_X_MARKET,,False,False,30
