security_id,ticker,candidate_source,exchange,latest253_complete,observed_valid_253,observed_zero_volume_253,calendar_uncertain_253,missing_sessions_253,invalid_sessions_253,conflicting_sessions_253,boundary_sessions_253,blocker_codes
KBS:HOSE:AAN,AAN,C7_COMPLETE_EXPANSION,HOSE,False,71,0,0,0,0,0,182,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:AAV,AAV,C5_BASELINE_500,UPCOM,False,246,0,7,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:AFX,AFX,C7_COMPLETE_EXPANSION,HOSE,False,247,0,6,0,0,0,0,CALENDAR_UNCERTAIN
KBS:UPCOM:ALC,ALC,C7_COMPLETE_EXPANSION,UPCOM,False,154,0,0,0,0,0,99,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:ANI,ANI,C7_COMPLETE_EXPANSION,UPCOM,False,18,28,0,0,0,0,207,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:ANT,ANT,C7_COMPLETE_EXPANSION,HOSE,False,248,0,5,0,0,0,0,CALENDAR_UNCERTAIN
KBS:UPCOM:BQP,BQP,C7_COMPLETE_EXPANSION,UPCOM,False,162,41,0,0,0,0,50,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:BT6,BT6,C7_COMPLETE_EXPANSION,UPCOM,False,0,116,0,0,0,0,137,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:CLI,CLI,C7_COMPLETE_EXPANSION,UPCOM,False,83,0,0,0,0,0,170,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:CRV,CRV,C7_COMPLETE_EXPANSION,HOSE,False,159,62,0,0,0,0,32,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:DAG,DAG,C7_COMPLETE_EXPANSION,UPCOM,False,0,116,0,0,0,0,137,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:DCV,DCV,C7_COMPLETE_EXPANSION,UPCOM,False,106,46,0,0,0,0,101,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:DDG,DDG,C7_COMPLETE_EXPANSION,UPCOM,False,118,128,7,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:DMX,DMX,C7_COMPLETE_EXPANSION,HOSE,False,17,0,0,0,0,0,236,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:EGL,EGL,C7_COMPLETE_EXPANSION,UPCOM,False,0,202,0,0,0,0,51,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:GEL,GEL,C7_COMPLETE_EXPANSION,HOSE,False,138,0,0,0,0,0,115,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:GHC,GHC,C5_BASELINE_500,HOSE,False,244,0,9,0,0,0,0,CALENDAR_UNCERTAIN
KBS:UPCOM:GTT,GTT,C7_COMPLETE_EXPANSION,UPCOM,False,0,116,0,0,0,0,137,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:GTX,GTX,C7_COMPLETE_EXPANSION,UPCOM,False,0,0,0,0,0,0,253,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:HPA,HPA,C7_COMPLETE_EXPANSION,HOSE,False,138,0,0,0,0,0,115,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:KLB,KLB,C5_BASELINE_500,HOSE,False,247,0,6,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:LPS,LPS,C7_COMPLETE_EXPANSION,HOSE,False,9,0,0,0,0,0,244,IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:MCH,MCH,C5_BASELINE_500,HOSE,False,248,0,5,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:NTC,NTC,C5_BASELINE_500,HOSE,False,245,0,8,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:PDV,PDV,C5_BASELINE_500,HOSE,False,243,1,9,0,0,0,0,CALENDAR_UNCERTAIN
KBS:UPCOM:SDA,SDA,C5_BASELINE_500,UPCOM,False,99,147,7,0,0,0,0,CALENDAR_UNCERTAIN
KBS:UPCOM:TCD,TCD,C5_BASELINE_500,UPCOM,False,37,209,7,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:TSA,TSA,C7_COMPLETE_EXPANSION,HOSE,False,230,17,6,0,0,0,0,CALENDAR_UNCERTAIN
KBS:UPCOM:VNI,VNI,C5_BASELINE_500,UPCOM,False,70,46,137,0,0,0,0,CALENDAR_UNCERTAIN
KBS:HOSE:VVS,VVS,C5_BASELINE_500,HOSE,False,245,0,8,0,0,0,0,CALENDAR_UNCERTAIN
