security_id,ticker,exchange,candidate_source,market_feature_ready_v2,latest253_complete,trading_activity_status,tradability_eligible,historical_identity_ready,research_ready,full_history_status,primary_market_blocker,all_market_blockers
KBS:UPCOM:AAH,AAH,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:AAN,AAN,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:AAV,AAV,UPCOM,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:HOSE:AFX,AFX,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:UPCOM:AIG,AIG,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:ALC,ALC,UPCOM,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:ANI,ANI,UPCOM,C7_COMPLETE_EXPANSION,False,False,OBSERVED_ZERO_VOLUME,False,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:ANT,ANT,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:UPCOM:AVG,AVG,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BGE,BGE,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BHH,BHH,UPCOM,C7_COMPLETE_EXPANSION,False,True,OBSERVED_ZERO_VOLUME,False,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BMK,BMK,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:BQP,BQP,UPCOM,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:BT6,BT6,UPCOM,C7_COMPLETE_EXPANSION,False,False,OBSERVED_ZERO_VOLUME,False,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:CLI,CLI,UPCOM,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:CRV,CRV,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:DAG,DAG,UPCOM,C7_COMPLETE_EXPANSION,False,False,OBSERVED_ZERO_VOLUME,False,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:DCV,DCV,UPCOM,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:DDG,DDG,UPCOM,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:UPCOM:DKG,DKG,UPCOM,C7_COMPLETE_EXPANSION,False,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:DMX,DMX,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:DSE,DSE,HOSE,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:EGL,EGL,UPCOM,C7_COMPLETE_EXPANSION,False,False,OBSERVED_ZERO_VOLUME,False,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:F88,F88,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
