snapshot_date,candidate_rows,feature_complete,market_feature_ready_v2,baseline_rows,baseline_ready,expansion_rows,expansion_ready,candidate_universe,feature_snapshot_present,candidate_without_snapshot,market_experiment_eligible,eligibility_rate_of_952
2020-01-31,777,0,0,396,0,381,0,952,777,175,0,0.0
2020-02-28,800,0,0,419,0,381,0,952,800,152,0,0.0
2020-03-31,822,0,0,439,0,383,0,952,822,130,0,0.0
2020-04-29,829,0,0,446,0,383,0,952,829,123,0,0.0
2020-05-29,834,0,0,450,0,384,0,952,834,118,0,0.0
2020-06-30,841,0,0,455,0,386,0,952,841,111,0,0.0
2020-07-31,846,0,0,458,0,388,0,952,846,106,0,0.0
2020-08-31,849,0,0,460,0,389,0,952,849,103,0,0.0
2020-09-30,851,0,0,461,0,390,0,952,851,101,0,0.0
2020-10-30,857,0,0,465,0,392,0,952,857,95,0,0.0
2020-11-30,859,0,0,467,0,392,0,952,859,93,0,0.0
2020-12-31,865,0,0,469,0,396,0,952,865,87,0,0.0
2021-01-29,871,324,0,473,0,398,0,952,871,81,0,0.0
2021-02-26,871,0,0,473,0,398,0,952,871,81,0,0.0
2021-03-31,874,0,0,475,0,399,0,952,874,78,0,0.0
2021-04-29,878,0,0,477,0,401,0,952,878,74,0,0.0
2021-05-31,879,0,0,478,0,401,0,952,879,73,0,0.0
2021-06-30,881,0,0,479,0,402,0,952,881,71,0,0.0
2021-07-30,884,0,0,480,0,404,0,952,884,68,0,0.0
2021-08-31,889,174,0,483,0,406,0,952,889,63,0,0.0
2021-09-30,891,115,0,484,0,407,0,952,891,61,0,0.0
2021-10-29,892,101,0,484,0,408,0,952,892,60,0,0.0
2021-11-30,893,102,0,485,0,408,0,952,893,59,0,0.0
2021-12-31,896,0,0,486,0,410,0,952,896,56,0,0.0
2022-01-28,900,0,0,490,0,410,0,952,900,52,0,0.0
2022-02-28,901,0,0,491,0,410,0,952,901,51,0,0.0
2022-03-31,902,0,0,491,0,411,0,952,902,50,0,0.0
2022-04-29,903,0,0,491,0,412,0,952,903,49,0,0.0
2022-05-31,905,0,0,492,0,413,0,952,905,47,0,0.0
2022-06-30,906,12,0,492,0,414,0,952,906,46,0,0.0
2022-07-29,909,14,0,494,0,415,0,952,909,43,0,0.0
2022-08-31,909,36,0,494,0,415,0,952,909,43,0,0.0
2022-09-30,910,55,0,495,0,415,0,952,910,42,0,0.0
2022-10-31,911,117,0,496,0,415,0,952,911,41,0,0.0
2022-11-30,913,103,0,497,0,416,0,952,913,39,0,0.0
2022-12-30,914,90,0,497,0,417,0,952,914,38,0,0.0
2023-01-31,916,90,87,498,47,418,40,952,916,36,87,0.091386555
2023-02-28,917,92,89,499,47,418,42,952,917,35,89,0.093487395
2023-03-31,917,93,90,499,47,418,43,952,917,35,90,0.094537815
2023-04-28,917,570,518,499,266,418,252,952,917,35,518,0.544117647
2023-05-31,918,0,0,500,0,418,0,952,918,34,0,0.0
2023-06-30,918,0,0,500,0,418,0,952,918,34,0,0.0
2023-07-31,919,0,0,500,0,419,0,952,919,33,0,0.0
2023-08-31,919,0,0,500,0,419,0,952,919,33,0,0.0
2023-09-29,920,0,0,500,0,420,0,952,920,32,0,0.0
2023-10-31,920,0,0,500,0,420,0,952,920,32,0,0.0
2023-11-30,920,150,142,500,70,420,72,952,920,32,142,0.149159664
2023-12-29,921,204,195,500,96,421,99,952,921,31,195,0.204831933
2024-01-31,925,203,196,500,98,425,98,952,925,27,196,0.205882353
2024-02-29,925,203,196,500,98,425,98,952,925,27,196,0.205882353
2024-03-29,925,202,197,500,99,425,98,952,925,27,197,0.206932773
2024-04-26,925,219,214,500,107,425,107,952,925,27,214,0.224789916
2024-05-31,925,226,221,500,111,425,110,952,925,27,221,0.232142857
2024-06-28,926,245,240,500,125,426,115,952,926,26,240,0.25210084
2024-07-31,928,250,247,500,127,428,120,952,928,24,247,0.259453782
2024-08-30,929,617,595,500,342,429,253,952,929,23,595,0.625
2024-09-30,929,627,606,500,349,429,257,952,929,23,606,0.636554622
2024-10-31,929,628,608,500,351,429,257,952,929,23,608,0.638655462
2024-11-29,930,804,780,500,428,430,352,952,930,22,780,0.819327731
2024-12-31,932,600,589,500,272,432,317,952,932,20,589,0.618697479
2025-01-24,932,601,589,500,274,432,315,952,932,20,589,0.618697479
2025-02-28,932,0,0,500,0,432,0,952,932,20,0,0.0
2025-03-31,932,0,0,500,0,432,0,952,932,20,0,0.0
2025-04-29,933,0,0,500,0,433,0,952,933,19,0,0.0
2025-05-30,933,0,0,500,0,433,0,952,933,19,0,0.0
2025-06-30,935,0,0,500,0,435,0,952,935,17,0,0.0
2025-07-31,935,0,0,500,0,435,0,952,935,17,0,0.0
2025-08-29,936,0,0,500,0,436,0,952,936,16,0,0.0
2025-09-30,936,0,0,500,0,436,0,952,936,16,0,0.0
2025-10-31,937,0,0,500,0,437,0,952,937,15,0,0.0
2025-11-28,939,0,0,500,0,439,0,952,939,13,0,0.0
2025-12-31,939,0,0,500,0,439,0,952,939,13,0,0.0
2026-01-30,941,0,0,500,0,441,0,952,941,11,0,0.0
2026-02-27,943,258,253,500,126,443,127,952,943,9,253,0.265756303
2026-03-31,946,526,520,500,259,446,261,952,946,6,520,0.546218487
2026-04-29,946,527,521,500,259,446,262,952,946,6,521,0.547268908
2026-05-29,948,795,782,500,424,448,358,952,948,4,782,0.821428571
2026-06-30,949,796,782,500,425,449,357,952,949,3,782,0.821428571
2026-07-31,949,875,861,500,463,449,398,952,949,3,861,0.904411765
2026-08-28,951,922,905,500,490,451,415,952,951,1,905,0.950630252
