snapshot_date,candidate_universe,candidate_rows_available,feature_snapshot_present,feature_complete,market_feature_ready_v2,insufficient_21_session_window,insufficient_63_session_window,insufficient_126_session_window,insufficient_252_session_window,minimum_three_calendar_year_history_fail,benchmark_beta_dependency_fail,liquidity_activity_fail,calendar_uncertainty,provider_boundary_history_fail,metadata_pit_fail,candidate_entry_or_no_snapshot,month_to_month_ready_change,classification,evidence
2020-01-31,952,777,777,0,0,777,777,777,777,777,777,777,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,3,0,175,,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-02-28,952,800,800,0,0,32,800,800,800,800,800,30,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,3,0,152,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-03-31,952,822,822,0,0,192,822,822,822,822,822,189,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,5,0,130,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-04-29,952,829,829,0,0,53,257,829,829,829,829,52,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,5,0,123,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-05-29,952,834,834,0,0,18,257,834,834,834,834,18,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,6,0,118,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-06-30,952,841,841,0,0,98,149,841,841,841,841,97,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,8,0,111,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-07-31,952,846,846,0,0,19,131,352,846,846,352,19,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,10,0,106,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-08-31,952,849,849,0,0,27,140,360,849,849,360,27,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,11,0,103,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-09-30,952,851,851,0,0,21,61,206,851,851,206,20,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,12,0,101,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
2020-10-30,952,857,857,0,0,41,81,206,857,857,206,41,NOT_DERIVABLE_PER_MONTH_FROM_FEATURE_ROWS,14,0,95,0,A_EXPECTED_METHODOLOGY_SEMANTICS,Three-calendar-year history gate dominates before 2023.
