snapshot_date,candidate_rows,feature_complete,market_feature_ready_v2,baseline_rows,baseline_ready,expansion_rows,expansion_ready
2020-01-31,777,0,0,396,0,381,0
2020-02-28,800,0,0,419,0,381,0
2020-03-31,822,0,0,439,0,383,0
2020-04-29,829,0,0,446,0,383,0
2020-05-29,834,0,0,450,0,384,0
2020-06-30,841,0,0,455,0,386,0
2020-07-31,846,0,0,458,0,388,0
2020-08-31,849,0,0,460,0,389,0
2020-09-30,851,0,0,461,0,390,0
2020-10-30,857,0,0,465,0,392,0
2020-11-30,859,0,0,467,0,392,0
2020-12-31,865,0,0,469,0,396,0
2021-01-29,871,324,0,473,0,398,0
2021-02-26,871,0,0,473,0,398,0
2021-03-31,874,0,0,475,0,399,0
2021-04-29,878,0,0,477,0,401,0
2021-05-31,879,0,0,478,0,401,0
2021-06-30,881,0,0,479,0,402,0
2021-07-30,884,0,0,480,0,404,0
2021-08-31,889,174,0,483,0,406,0
2021-09-30,891,115,0,484,0,407,0
2021-10-29,892,101,0,484,0,408,0
2021-11-30,893,102,0,485,0,408,0
2021-12-31,896,0,0,486,0,410,0
2022-01-28,900,0,0,490,0,410,0
2022-02-28,901,0,0,491,0,410,0
2022-03-31,902,0,0,491,0,411,0
2022-04-29,903,0,0,491,0,412,0
2022-05-31,905,0,0,492,0,413,0
2022-06-30,906,12,0,492,0,414,0
2022-07-29,909,14,0,494,0,415,0
2022-08-31,909,36,0,494,0,415,0
2022-09-30,910,55,0,495,0,415,0
2022-10-31,911,117,0,496,0,415,0
2022-11-30,913,103,0,497,0,416,0
2022-12-30,914,90,0,497,0,417,0
2023-01-31,916,90,87,498,47,418,40
2023-02-28,917,92,89,499,47,418,42
2023-03-31,917,93,90,499,47,418,43
2023-04-28,917,570,518,499,266,418,252
2023-05-31,918,0,0,500,0,418,0
2023-06-30,918,0,0,500,0,418,0
2023-07-31,919,0,0,500,0,419,0
2023-08-31,919,0,0,500,0,419,0
2023-09-29,920,0,0,500,0,420,0
2023-10-31,920,0,0,500,0,420,0
2023-11-30,920,150,142,500,70,420,72
2023-12-29,921,204,195,500,96,421,99
2024-01-31,925,203,196,500,98,425,98
2024-02-29,925,203,196,500,98,425,98
2024-03-29,925,202,197,500,99,425,98
2024-04-26,925,219,214,500,107,425,107
2024-05-31,925,226,221,500,111,425,110
2024-06-28,926,245,240,500,125,426,115
2024-07-31,928,250,247,500,127,428,120
2024-08-30,929,617,595,500,342,429,253
2024-09-30,929,627,606,500,349,429,257
2024-10-31,929,628,608,500,351,429,257
2024-11-29,930,804,780,500,428,430,352
2024-12-31,932,600,589,500,272,432,317
2025-01-24,932,601,589,500,274,432,315
2025-02-28,932,0,0,500,0,432,0
2025-03-31,932,0,0,500,0,432,0
2025-04-29,933,0,0,500,0,433,0
2025-05-30,933,0,0,500,0,433,0
2025-06-30,935,0,0,500,0,435,0
2025-07-31,935,0,0,500,0,435,0
2025-08-29,936,0,0,500,0,436,0
2025-09-30,936,0,0,500,0,436,0
2025-10-31,937,0,0,500,0,437,0
2025-11-28,939,0,0,500,0,439,0
2025-12-31,939,0,0,500,0,439,0
2026-01-30,941,0,0,500,0,441,0
2026-02-27,943,258,253,500,126,443,127
2026-03-31,946,526,520,500,259,446,261
2026-04-29,946,527,521,500,259,446,262
2026-05-29,948,795,782,500,424,448,358
2026-06-30,949,796,782,500,425,449,357
2026-07-31,949,875,861,500,463,449,398
2026-08-28,951,922,905,500,490,451,415
