security_id,ticker,exchange,candidate_source,snapshot_date,feature_snapshot_present,feature_complete,market_feature_ready_v2,latest253_complete,trading_activity_status,historical_identity_ready,research_ready,primary_market_blocker,all_market_blockers,missing_required_features,observed_valid_253,observed_zero_volume_253,calendar_uncertain_253,boundary_sessions_253,mom_21_available,mom_63_available,mom_126_available,mom_252_available,vol_63_available,mdd_126_available,beta_126_available,liquidity_21_available
KBS:HNX:ADC,ADC,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,88,165,0,0,True,True,True,True,True,True,True,True
KBS:HNX:ALT,ALT,HNX,C7_COMPLETE_EXPANSION,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,113,140,0,0,True,True,True,True,True,True,True,True
KBS:HNX:AMC,AMC,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,137,116,0,0,True,True,True,True,True,True,True,True
KBS:HNX:AME,AME,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,88,165,0,0,True,True,True,True,True,True,True,True
KBS:HNX:AMV,AMV,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,ACTIVE,False,False,,,,134,119,0,0,True,True,True,True,True,True,True,True
KBS:HNX:API,API,HNX,C7_COMPLETE_EXPANSION,2026-08-28,True,True,True,True,ACTIVE,False,False,,,,253,0,0,0,True,True,True,True,True,True,True,True
KBS:HNX:APS,APS,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,ACTIVE,False,False,,,,253,0,0,0,True,True,True,True,True,True,True,True
KBS:HNX:ARM,ARM,HNX,C7_COMPLETE_EXPANSION,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,19,234,0,0,True,True,True,True,True,True,True,True
KBS:HNX:ATS,ATS,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,37,216,0,0,True,True,True,True,True,True,True,True
KBS:HNX:BAB,BAB,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,ACTIVE,False,False,,,,253,0,0,0,True,True,True,True,True,True,True,True
KBS:HNX:BAX,BAX,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,75,178,0,0,True,True,True,True,True,True,True,True
KBS:HNX:BBS,BBS,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,73,180,0,0,True,True,True,True,True,True,True,True
KBS:HNX:BCF,BCF,HNX,C5_BASELINE_500,2026-08-28,True,True,True,True,OBSERVED_ZERO_VOLUME,False,False,,,,161,92,0,0,True,True,True,True,True,True,True,True
