priority_rank,security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
1,KBS:HOSE:AAN,AAN,HOSE,CTCP Lương thực A An,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
2,KBS:HOSE:AAT,AAT,HOSE,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
3,KBS:HOSE:ABR,ABR,HOSE,CTCP Đầu tư Nhãn hiệu Việt,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
4,KBS:HOSE:ABS,ABS,HOSE,CTCP Dịch vụ Nông nghiệp Bình Thuận,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
5,KBS:HOSE:ABT,ABT,HOSE,CTCP Xuất nhập khẩu Thủy sản Bến Tre,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
6,KBS:HOSE:ACG,ACG,HOSE,CTCP Gỗ An Cường,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
7,KBS:HOSE:ADG,ADG,HOSE,CTCP Clever Group,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
8,KBS:HOSE:ADP,ADP,HOSE,CTCP Sơn Á Đông,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
9,KBS:HOSE:AFX,AFX,HOSE,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
10,KBS:HOSE:AGG,AGG,HOSE,CTCP Đầu tư và Phát triển Bất động sản An Gia,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
11,KBS:HOSE:ANT,ANT,HOSE,CTCP Rau quả Thực phẩm An Giang,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
12,KBS:HOSE:APG,APG,HOSE,CTCP Chứng khoán APG,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
13,KBS:HOSE:APH,APH,HOSE,CTCP Tập đoàn An Phát Holdings,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
14,KBS:HOSE:ASG,ASG,HOSE,CTCP Tập đoàn ASG,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
15,KBS:HOSE:ASM,ASM,HOSE,CTCP Tập đoàn Sao Mai,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
16,KBS:HOSE:ASP,ASP,HOSE,CTCP Tập đoàn Dầu khí An Pha,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
17,KBS:HOSE:BAF,BAF,HOSE,CTCP Nông nghiệp BAF Việt Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
18,KBS:HOSE:BHN,BHN,HOSE,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
