security_id,ticker,exchange,history_policy,estimated_sessions,estimated_pages,estimated_requests,estimate_basis
KBS:HOSE:AAN,AAN,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:AAT,AAT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ABR,ABR,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ABS,ABS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ABT,ABT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ACG,ACG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ADG,ADG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ADP,ADP,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:AFX,AFX,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:AGG,AGG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ANT,ANT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:APG,APG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:APH,APH,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ASG,ASG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ASM,ASM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ASP,ASP,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BAF,BAF,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BHN,BHN,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BIC,BIC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BMC,BMC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BMI,BMI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BRC,BRC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BSI,BSI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BSR,BSR,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BTP,BTP,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BTT,BTT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BVB,BVB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:BWE,BWE,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:C32,C32,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:C47,C47,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CCC,CCC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CCI,CCI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CDC,CDC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CIG,CIG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CLL,CLL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CMV,CMV,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CNG,CNG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:COM,COM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CRC,CRC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CRV,CRV,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CSM,CSM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CSV,CSV,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CTF,CTF,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CTI,CTI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:CVT,CVT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:D2D,D2D,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DAT,DAT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DBD,DBD,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DBT,DBT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DHA,DHA,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DHC,DHC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DHM,DHM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DIG,DIG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DLG,DLG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DMX,DMX,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DPG,DPG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DPR,DPR,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DQC,DQC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DRC,DRC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DRH,DRH,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DRL,DRL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DSC,DSC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DSE,DSE,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DSN,DSN,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DTL,DTL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DXG,DXG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DXS,DXS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:DXV,DXV,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:EIB,EIB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:EVG,EVG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:FCM,FCM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:FCN,FCN,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:FTS,FTS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:GEE,GEE,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:GEL,GEL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:GIL,GIL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:GSP,GSP,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HAG,HAG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
