security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
KBS:UPCOM:HC1,HC1,UPCOM,CTCP Xây dựng Số 1 Hà Nội,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HC3,HC3,UPCOM,CTCP Xây dựng Số 3 Hải Phòng,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HCI,HCI,UPCOM,CTCP Đầu tư Xây dựng Hà Nội,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HD2,HD2,UPCOM,CTCP Đầu tư Phát triển Nhà HUD2,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HD8,HD8,UPCOM,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HDM,HDM,UPCOM,CTCP Dệt may Huế,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HDP,HDP,UPCOM,CTCP Dược Hà Tĩnh,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HEC,HEC,UPCOM,CTCP Tư vấn Xây dựng Thủy Lợi II,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HFB,HFB,UPCOM,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HFC,HFC,UPCOM,CTCP Xăng dầu HFC,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
