aligned_cluster_id,centroid,economic_rank,raw_cluster_id,semantic_label,size,snapshot_date
1,"{""mom_63"": 0.016413654140276224, ""ram_63"": 0.7746901552158365, ""vol_63"": 0.021220453078214314}",1,0,High Momentum / High Risk,5,2025-01-31
2,"{""mom_63"": 0.006106523655803664, ""ram_63"": 0.30293263131096687, ""vol_63"": 0.02020174868717245}",2,1,Low Momentum / Low Risk,4,2025-01-31
0,"{""mom_63"": 0.025781682706425002, ""ram_63"": 1.3036034144899937, ""vol_63"": 0.019759811577340546}",0,2,High Momentum / Low Risk,3,2025-01-31
1,"{""mom_63"": 0.006178369088478908, ""ram_63"": 0.30897363886372603, ""vol_63"": 0.019943781429115896}",2,0,Low Momentum / Low Risk,4,2025-02-28
2,"{""mom_63"": 0.022547975711329993, ""ram_63"": 1.1323927060412433, ""vol_63"": 0.019923422471667535}",0,1,High Momentum / Low Risk,4,2025-02-28
0,"{""mom_63"": 0.01494760562356856, ""ram_63"": 0.6984987407522437, ""vol_63"": 0.02141074275335102}",1,2,High Momentum / High Risk,4,2025-02-28
1,"{""mom_63"": 0.025739529465504285, ""ram_63"": 1.2872606672358273, ""vol_63"": 0.02006634963853785}",0,0,High Momentum / Low Risk,4,2025-03-31
0,"{""mom_63"": 0.0028975864655748453, ""ram_63"": 0.14806345815520616, ""vol_63"": 0.01974976912305151}",2,1,Low Momentum / Low Risk,3,2025-03-31
2,"{""mom_63"": 0.012251324591179946, ""ram_63"": 0.5771883190718097, ""vol_63"": 0.02120956925742219}",1,2,High Momentum / High Risk,5,2025-03-31
0,"{""mom_63"": 0.024102935183721107, ""ram_63"": 1.194959416247431, ""vol_63"": 0.020227837144736523}",0,0,High Momentum / Low Risk,5,2025-04-30
2,"{""mom_63"": 0.0018056156428824521, ""ram_63"": 0.0931746289073826, ""vol_63"": 0.01958624813110995}",2,1,Low Momentum / Low Risk,2,2025-04-30
1,"{""mom_63"": 0.011888360574779799, ""ram_63"": 0.5612696883751644, ""vol_63"": 0.021145548312855682}",1,2,Low Momentum / High Risk,5,2025-04-30
1,"{""mom_63"": 0.005218489838581086, ""ram_63"": 0.26831796667823665, ""vol_63"": 0.01944253112587689}",2,0,Low Momentum / Low Risk,2,2025-05-30
2,"{""mom_63"": 0.022169209892072272, ""ram_63"": 1.0992930697304995, ""vol_63"": 0.020227229823403498}",0,1,High Momentum / Low Risk,5,2025-05-30
0,"{""mom_63"": 0.011150485978707714, ""ram_63"": 0.5304577607281282, ""vol_63"": 0.020974898086866933}",1,2,Low Momentum / High Risk,5,2025-05-30
1,"{""mom_63"": 0.017617102256507432, ""ram_63"": 0.8342162893478957, ""vol_63"": 0.021145274196635814}",1,0,High Momentum / High Risk,5,2025-06-30
2,"{""mom_63"": 0.005519668738147932, ""ram_63"": 0.270880558170547, ""vol_63"": 0.02022934095364962}",2,1,Low Momentum / Low Risk,5,2025-06-30
0,"{""mom_63"": 0.027924338482323008, ""ram_63"": 1.4256945027092547, ""vol_63"": 0.01957427882436851}",0,2,High Momentum / Low Risk,2,2025-06-30
