aligned_cluster_id,data_version,pca_x,pca_y,raw_cluster_id,run_id,security_id,snapshot_date
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-00,2025-01-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-01,2025-01-31
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-02,2025-01-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-03,2025-01-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-04,2025-01-31
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-05,2025-01-31
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-06,2025-01-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-07,2025-01-31
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-08,2025-01-31
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-09,2025-01-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-10,2025-01-31
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-11,2025-01-31
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-00,2025-02-28
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-01,2025-02-28
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-02,2025-02-28
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-03,2025-02-28
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-04,2025-02-28
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-05,2025-02-28
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-06,2025-02-28
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-07,2025-02-28
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-08,2025-02-28
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-09,2025-02-28
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-10,2025-02-28
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-11,2025-02-28
2,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-00,2025-03-31
0,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-01,2025-03-31
0,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-02,2025-03-31
2,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-03,2025-03-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-04,2025-03-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-05,2025-03-31
2,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-06,2025-03-31
2,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-07,2025-03-31
0,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-08,2025-03-31
2,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-09,2025-03-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-10,2025-03-31
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-11,2025-03-31
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-00,2025-04-30
1,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-01,2025-04-30
0,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-02,2025-04-30
0,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-03,2025-04-30
1,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-04,2025-04-30
1,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-05,2025-04-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-06,2025-04-30
1,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-07,2025-04-30
0,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-08,2025-04-30
0,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-09,2025-04-30
0,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-10,2025-04-30
1,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-11,2025-04-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-00,2025-05-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-01,2025-05-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-02,2025-05-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-03,2025-05-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-04,2025-05-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-05,2025-05-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-06,2025-05-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-07,2025-05-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-08,2025-05-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-09,2025-05-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-10,2025-05-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-11,2025-05-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-00,2025-06-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-01,2025-06-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-02,2025-06-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-03,2025-06-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-04,2025-06-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-05,2025-06-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-06,2025-06-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-07,2025-06-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-08,2025-06-30
2,run-5016b877990c,,,1,experiment-85dd31d7598b,SYNTHETIC-09,2025-06-30
1,run-5016b877990c,,,0,experiment-85dd31d7598b,SYNTHETIC-10,2025-06-30
0,run-5016b877990c,,,2,experiment-85dd31d7598b,SYNTHETIC-11,2025-06-30
