aligned_cluster_id,data_version,pca_x,pca_y,raw_cluster_id,run_id,security_id,snapshot_date
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-00,2025-01-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-01,2025-01-31
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-02,2025-01-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-03,2025-01-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-04,2025-01-31
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-05,2025-01-31
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-06,2025-01-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-07,2025-01-31
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-08,2025-01-31
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-09,2025-01-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-10,2025-01-31
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-11,2025-01-31
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-00,2025-02-28
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-01,2025-02-28
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-02,2025-02-28
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-03,2025-02-28
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-04,2025-02-28
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-05,2025-02-28
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-06,2025-02-28
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-07,2025-02-28
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-08,2025-02-28
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-09,2025-02-28
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-10,2025-02-28
0,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-11,2025-02-28
2,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-00,2025-03-31
0,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-01,2025-03-31
0,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-02,2025-03-31
2,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-03,2025-03-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-04,2025-03-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-05,2025-03-31
2,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-06,2025-03-31
2,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-07,2025-03-31
0,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-08,2025-03-31
2,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-09,2025-03-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-10,2025-03-31
1,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-11,2025-03-31
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-00,2025-04-30
1,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-01,2025-04-30
0,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-02,2025-04-30
0,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-03,2025-04-30
1,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-04,2025-04-30
1,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-05,2025-04-30
2,run-c10574e177a6,,,1,experiment-8ecc8caa6dd9,SYNTHETIC-06,2025-04-30
1,run-c10574e177a6,,,2,experiment-8ecc8caa6dd9,SYNTHETIC-07,2025-04-30
0,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-08,2025-04-30
0,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-09,2025-04-30
0,run-c10574e177a6,,,0,experiment-8ecc8caa6dd9,SYNTHETIC-10,2025-04-30
