aligned_cluster_id,data_version,pca_x,pca_y,raw_cluster_id,run_id,security_id,snapshot_date
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,PILOT-HOA-PHAT-COMMON,2024-01-31
0,run-563d11a7cc13,,,0,experiment-a3f51c72792a,PILOT-VINH-HOAN-COMMON,2024-01-31
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,VN000000FPT1,2024-01-31
2,run-563d11a7cc13,,,2,experiment-a3f51c72792a,VN000000GAS3,2024-01-31
0,run-563d11a7cc13,,,0,experiment-a3f51c72792a,VN000000MWG0,2024-01-31
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,VN000000PVS0,2024-01-31
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,VN000000REE2,2024-01-31
0,run-563d11a7cc13,,,0,experiment-a3f51c72792a,VN000000SSI1,2024-01-31
2,run-563d11a7cc13,,,2,experiment-a3f51c72792a,VN000000VCB4,2024-01-31
2,run-563d11a7cc13,,,2,experiment-a3f51c72792a,VN000000VNM8,2024-01-31
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,PILOT-HOA-PHAT-COMMON,2024-02-29
0,run-563d11a7cc13,,,2,experiment-a3f51c72792a,PILOT-VINH-HOAN-COMMON,2024-02-29
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,VN000000FPT1,2024-02-29
2,run-563d11a7cc13,,,0,experiment-a3f51c72792a,VN000000GAS3,2024-02-29
0,run-563d11a7cc13,,,2,experiment-a3f51c72792a,VN000000MWG0,2024-02-29
2,run-563d11a7cc13,,,0,experiment-a3f51c72792a,VN000000PVS0,2024-02-29
2,run-563d11a7cc13,,,0,experiment-a3f51c72792a,VN000000REE2,2024-02-29
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,VN000000SSI1,2024-02-29
1,run-563d11a7cc13,,,1,experiment-a3f51c72792a,VN000000VCB4,2024-02-29
2,run-563d11a7cc13,,,0,experiment-a3f51c72792a,VN000000VNM8,2024-02-29
1,run-563d11a7cc13,,,2,experiment-a3f51c72792a,PILOT-HOA-PHAT-COMMON,2024-03-29
