aligned_cluster_id,centroid,economic_rank,raw_cluster_id,semantic_label,size,snapshot_date
0,"{""mom_63"": 0.17976827152615607, ""ram_63"": 0.577962524931198, ""vol_63"": 0.31251274649024097}",0,0,High Momentum / High Risk,3,2024-01-31
1,"{""mom_63"": 0.06137964047557548, ""ram_63"": 0.2882317082487245, ""vol_63"": 0.2165196480393911}",1,1,High Momentum / High Risk,4,2024-01-31
2,"{""mom_63"": -0.03387102031185962, ""ram_63"": -0.22134941165643846, ""vol_63"": 0.16656809133533512}",2,2,Low Momentum / Low Risk,3,2024-01-31
2,"{""mom_63"": 0.031775949042093604, ""ram_63"": 0.193270492071653, ""vol_63"": 0.17788402648425375}",2,0,Low Momentum / Low Risk,4,2024-02-29
1,"{""mom_63"": 0.1642685465012867, ""ram_63"": 0.8314429476996408, ""vol_63"": 0.20154830322757064}",1,1,High Momentum / Low Risk,4,2024-02-29
0,"{""mom_63"": 0.25353913482544654, ""ram_63"": 0.8845576130250097, ""vol_63"": 0.2836076021046605}",0,2,High Momentum / High Risk,2,2024-02-29
0,"{""mom_63"": 0.26081204747996045, ""ram_63"": 0.9623237361839171, ""vol_63"": 0.27931359681213364}",0,0,High Momentum / High Risk,2,2024-03-29
2,"{""mom_63"": 0.027489207531136522, ""ram_63"": 0.16145171464194394, ""vol_63"": 0.16973176028383274}",2,1,Low Momentum / Low Risk,3,2024-03-29
1,"{""mom_63"": 0.15915984682851314, ""ram_63"": 0.7616306808258081, ""vol_63"": 0.2081314186100965}",1,2,High Momentum / High Risk,5,2024-03-29
2,"{""mom_63"": -0.01946987888464144, ""ram_63"": -0.10643920158465714, ""vol_63"": 0.20181481202906634}",2,0,Low Momentum / Low Risk,4,2024-04-26
0,"{""mom_63"": 0.21986666415652878, ""ram_63"": 0.7283916759891464, ""vol_63"": 0.3103581902420654}",0,1,High Momentum / High Risk,3,2024-04-26
1,"{""mom_63"": 0.0781344033551336, ""ram_63"": 0.28695695759272344, ""vol_63"": 0.29055595946833346}",1,2,High Momentum / High Risk,3,2024-04-26
