count,data_version,denominator,from_cluster,from_date,rate,run_id,to_cluster,to_date
2,run-563d11a7cc13,3,0,2024-01-31,0.6666666666666666,experiment-a3f51c72792a,0,2024-02-29
1,run-563d11a7cc13,3,0,2024-01-31,0.3333333333333333,experiment-a3f51c72792a,1,2024-02-29
0,run-563d11a7cc13,3,0,2024-01-31,0.0,experiment-a3f51c72792a,2,2024-02-29
0,run-563d11a7cc13,4,1,2024-01-31,0.0,experiment-a3f51c72792a,0,2024-02-29
2,run-563d11a7cc13,4,1,2024-01-31,0.5,experiment-a3f51c72792a,1,2024-02-29
2,run-563d11a7cc13,4,1,2024-01-31,0.5,experiment-a3f51c72792a,2,2024-02-29
0,run-563d11a7cc13,3,2,2024-01-31,0.0,experiment-a3f51c72792a,0,2024-02-29
1,run-563d11a7cc13,3,2,2024-01-31,0.3333333333333333,experiment-a3f51c72792a,1,2024-02-29
2,run-563d11a7cc13,3,2,2024-01-31,0.6666666666666666,experiment-a3f51c72792a,2,2024-02-29
3,run-563d11a7cc13,4,2,2024-02-29,0.75,experiment-a3f51c72792a,2,2024-03-29
1,run-563d11a7cc13,4,2,2024-02-29,0.25,experiment-a3f51c72792a,1,2024-03-29
0,run-563d11a7cc13,4,2,2024-02-29,0.0,experiment-a3f51c72792a,0,2024-03-29
0,run-563d11a7cc13,4,1,2024-02-29,0.0,experiment-a3f51c72792a,2,2024-03-29
4,run-563d11a7cc13,4,1,2024-02-29,1.0,experiment-a3f51c72792a,1,2024-03-29
0,run-563d11a7cc13,4,1,2024-02-29,0.0,experiment-a3f51c72792a,0,2024-03-29
0,run-563d11a7cc13,2,0,2024-02-29,0.0,experiment-a3f51c72792a,2,2024-03-29
0,run-563d11a7cc13,2,0,2024-02-29,0.0,experiment-a3f51c72792a,1,2024-03-29
2,run-563d11a7cc13,2,0,2024-02-29,1.0,experiment-a3f51c72792a,0,2024-03-29
2,run-563d11a7cc13,2,0,2024-03-29,1.0,experiment-a3f51c72792a,0,2024-04-26
0,run-563d11a7cc13,2,0,2024-03-29,0.0,experiment-a3f51c72792a,2,2024-04-26
0,run-563d11a7cc13,2,0,2024-03-29,0.0,experiment-a3f51c72792a,1,2024-04-26
0,run-563d11a7cc13,3,2,2024-03-29,0.0,experiment-a3f51c72792a,0,2024-04-26
2,run-563d11a7cc13,3,2,2024-03-29,0.6666666666666666,experiment-a3f51c72792a,2,2024-04-26
1,run-563d11a7cc13,3,2,2024-03-29,0.3333333333333333,experiment-a3f51c72792a,1,2024-04-26
1,run-563d11a7cc13,5,1,2024-03-29,0.2,experiment-a3f51c72792a,0,2024-04-26
2,run-563d11a7cc13,5,1,2024-03-29,0.4,experiment-a3f51c72792a,2,2024-04-26
2,run-563d11a7cc13,5,1,2024-03-29,0.4,experiment-a3f51c72792a,1,2024-04-26
2,run-563d11a7cc13,4,2,2024-04-26,0.5,experiment-a3f51c72792a,2,2024-05-31
2,run-563d11a7cc13,4,2,2024-04-26,0.5,experiment-a3f51c72792a,0,2024-05-31
0,run-563d11a7cc13,4,2,2024-04-26,0.0,experiment-a3f51c72792a,1,2024-05-31
0,run-563d11a7cc13,3,0,2024-04-26,0.0,experiment-a3f51c72792a,2,2024-05-31
1,run-563d11a7cc13,3,0,2024-04-26,0.3333333333333333,experiment-a3f51c72792a,0,2024-05-31
2,run-563d11a7cc13,3,0,2024-04-26,0.6666666666666666,experiment-a3f51c72792a,1,2024-05-31
0,run-563d11a7cc13,3,1,2024-04-26,0.0,experiment-a3f51c72792a,2,2024-05-31
1,run-563d11a7cc13,3,1,2024-04-26,0.3333333333333333,experiment-a3f51c72792a,0,2024-05-31
2,run-563d11a7cc13,3,1,2024-04-26,0.6666666666666666,experiment-a3f51c72792a,1,2024-05-31
2,run-563d11a7cc13,4,0,2024-05-31,0.5,experiment-a3f51c72792a,0,2024-06-28
0,run-563d11a7cc13,4,0,2024-05-31,0.0,experiment-a3f51c72792a,1,2024-06-28
2,run-563d11a7cc13,4,0,2024-05-31,0.5,experiment-a3f51c72792a,2,2024-06-28
1,run-563d11a7cc13,4,1,2024-05-31,0.25,experiment-a3f51c72792a,0,2024-06-28
3,run-563d11a7cc13,4,1,2024-05-31,0.75,experiment-a3f51c72792a,1,2024-06-28
0,run-563d11a7cc13,4,1,2024-05-31,0.0,experiment-a3f51c72792a,2,2024-06-28
0,run-563d11a7cc13,2,2,2024-05-31,0.0,experiment-a3f51c72792a,0,2024-06-28
0,run-563d11a7cc13,2,2,2024-05-31,0.0,experiment-a3f51c72792a,1,2024-06-28
2,run-563d11a7cc13,2,2,2024-05-31,1.0,experiment-a3f51c72792a,2,2024-06-28
2,run-563d11a7cc13,3,0,2024-06-28,0.6666666666666666,experiment-a3f51c72792a,0,2024-07-31
0,run-563d11a7cc13,3,0,2024-06-28,0.0,experiment-a3f51c72792a,2,2024-07-31
1,run-563d11a7cc13,3,0,2024-06-28,0.3333333333333333,experiment-a3f51c72792a,1,2024-07-31
1,run-563d11a7cc13,4,2,2024-06-28,0.25,experiment-a3f51c72792a,0,2024-07-31
3,run-563d11a7cc13,4,2,2024-06-28,0.75,experiment-a3f51c72792a,2,2024-07-31
0,run-563d11a7cc13,4,2,2024-06-28,0.0,experiment-a3f51c72792a,1,2024-07-31
0,run-563d11a7cc13,3,1,2024-06-28,0.0,experiment-a3f51c72792a,0,2024-07-31
0,run-563d11a7cc13,3,1,2024-06-28,0.0,experiment-a3f51c72792a,2,2024-07-31
3,run-563d11a7cc13,3,1,2024-06-28,1.0,experiment-a3f51c72792a,1,2024-07-31
2,run-563d11a7cc13,3,0,2024-07-31,0.6666666666666666,experiment-a3f51c72792a,0,2024-08-30
1,run-563d11a7cc13,3,0,2024-07-31,0.3333333333333333,experiment-a3f51c72792a,2,2024-08-30
0,run-563d11a7cc13,3,0,2024-07-31,0.0,experiment-a3f51c72792a,1,2024-08-30
1,run-563d11a7cc13,3,2,2024-07-31,0.3333333333333333,experiment-a3f51c72792a,0,2024-08-30
1,run-563d11a7cc13,3,2,2024-07-31,0.3333333333333333,experiment-a3f51c72792a,2,2024-08-30
1,run-563d11a7cc13,3,2,2024-07-31,0.3333333333333333,experiment-a3f51c72792a,1,2024-08-30
1,run-563d11a7cc13,4,1,2024-07-31,0.25,experiment-a3f51c72792a,0,2024-08-30
0,run-563d11a7cc13,4,1,2024-07-31,0.0,experiment-a3f51c72792a,2,2024-08-30
3,run-563d11a7cc13,4,1,2024-07-31,0.75,experiment-a3f51c72792a,1,2024-08-30
3,run-563d11a7cc13,4,1,2024-08-30,0.75,experiment-a3f51c72792a,1,2024-09-30
1,run-563d11a7cc13,4,1,2024-08-30,0.25,experiment-a3f51c72792a,2,2024-09-30
0,run-563d11a7cc13,4,1,2024-08-30,0.0,experiment-a3f51c72792a,0,2024-09-30
0,run-563d11a7cc13,2,2,2024-08-30,0.0,experiment-a3f51c72792a,1,2024-09-30
2,run-563d11a7cc13,2,2,2024-08-30,1.0,experiment-a3f51c72792a,2,2024-09-30
0,run-563d11a7cc13,2,2,2024-08-30,0.0,experiment-a3f51c72792a,0,2024-09-30
3,run-563d11a7cc13,4,0,2024-08-30,0.75,experiment-a3f51c72792a,1,2024-09-30
0,run-563d11a7cc13,4,0,2024-08-30,0.0,experiment-a3f51c72792a,2,2024-09-30
1,run-563d11a7cc13,4,0,2024-08-30,0.25,experiment-a3f51c72792a,0,2024-09-30
1,run-563d11a7cc13,1,0,2024-09-30,1.0,experiment-a3f51c72792a,0,2024-10-31
0,run-563d11a7cc13,1,0,2024-09-30,0.0,experiment-a3f51c72792a,1,2024-10-31
0,run-563d11a7cc13,1,0,2024-09-30,0.0,experiment-a3f51c72792a,2,2024-10-31
1,run-563d11a7cc13,6,1,2024-09-30,0.16666666666666666,experiment-a3f51c72792a,0,2024-10-31
3,run-563d11a7cc13,6,1,2024-09-30,0.5,experiment-a3f51c72792a,1,2024-10-31
2,run-563d11a7cc13,6,1,2024-09-30,0.3333333333333333,experiment-a3f51c72792a,2,2024-10-31
2,run-563d11a7cc13,3,2,2024-09-30,0.6666666666666666,experiment-a3f51c72792a,0,2024-10-31
0,run-563d11a7cc13,3,2,2024-09-30,0.0,experiment-a3f51c72792a,1,2024-10-31
1,run-563d11a7cc13,3,2,2024-09-30,0.3333333333333333,experiment-a3f51c72792a,2,2024-10-31
2,run-563d11a7cc13,4,0,2024-10-31,0.5,experiment-a3f51c72792a,0,2024-11-29
1,run-563d11a7cc13,4,0,2024-10-31,0.25,experiment-a3f51c72792a,1,2024-11-29
1,run-563d11a7cc13,4,0,2024-10-31,0.25,experiment-a3f51c72792a,2,2024-11-29
1,run-563d11a7cc13,3,1,2024-10-31,0.3333333333333333,experiment-a3f51c72792a,0,2024-11-29
