count,data_version,denominator,from_cluster,from_date,rate,run_id,to_cluster,to_date
2,run-4a1a6203dba7,3,0,2024-01-31,0.6666666666666666,experiment-de5f4d68afa0,0,2024-02-29
1,run-4a1a6203dba7,3,0,2024-01-31,0.3333333333333333,experiment-de5f4d68afa0,1,2024-02-29
0,run-4a1a6203dba7,3,0,2024-01-31,0.0,experiment-de5f4d68afa0,2,2024-02-29
0,run-4a1a6203dba7,4,1,2024-01-31,0.0,experiment-de5f4d68afa0,0,2024-02-29
2,run-4a1a6203dba7,4,1,2024-01-31,0.5,experiment-de5f4d68afa0,1,2024-02-29
2,run-4a1a6203dba7,4,1,2024-01-31,0.5,experiment-de5f4d68afa0,2,2024-02-29
0,run-4a1a6203dba7,3,2,2024-01-31,0.0,experiment-de5f4d68afa0,0,2024-02-29
1,run-4a1a6203dba7,3,2,2024-01-31,0.3333333333333333,experiment-de5f4d68afa0,1,2024-02-29
2,run-4a1a6203dba7,3,2,2024-01-31,0.6666666666666666,experiment-de5f4d68afa0,2,2024-02-29
3,run-4a1a6203dba7,4,2,2024-02-29,0.75,experiment-de5f4d68afa0,2,2024-03-29
1,run-4a1a6203dba7,4,2,2024-02-29,0.25,experiment-de5f4d68afa0,1,2024-03-29
0,run-4a1a6203dba7,4,2,2024-02-29,0.0,experiment-de5f4d68afa0,0,2024-03-29
0,run-4a1a6203dba7,4,1,2024-02-29,0.0,experiment-de5f4d68afa0,2,2024-03-29
4,run-4a1a6203dba7,4,1,2024-02-29,1.0,experiment-de5f4d68afa0,1,2024-03-29
0,run-4a1a6203dba7,4,1,2024-02-29,0.0,experiment-de5f4d68afa0,0,2024-03-29
0,run-4a1a6203dba7,2,0,2024-02-29,0.0,experiment-de5f4d68afa0,2,2024-03-29
0,run-4a1a6203dba7,2,0,2024-02-29,0.0,experiment-de5f4d68afa0,1,2024-03-29
2,run-4a1a6203dba7,2,0,2024-02-29,1.0,experiment-de5f4d68afa0,0,2024-03-29
2,run-4a1a6203dba7,2,0,2024-03-29,1.0,experiment-de5f4d68afa0,0,2024-04-26
0,run-4a1a6203dba7,2,0,2024-03-29,0.0,experiment-de5f4d68afa0,2,2024-04-26
0,run-4a1a6203dba7,2,0,2024-03-29,0.0,experiment-de5f4d68afa0,1,2024-04-26
0,run-4a1a6203dba7,3,2,2024-03-29,0.0,experiment-de5f4d68afa0,0,2024-04-26
2,run-4a1a6203dba7,3,2,2024-03-29,0.6666666666666666,experiment-de5f4d68afa0,2,2024-04-26
1,run-4a1a6203dba7,3,2,2024-03-29,0.3333333333333333,experiment-de5f4d68afa0,1,2024-04-26
1,run-4a1a6203dba7,5,1,2024-03-29,0.2,experiment-de5f4d68afa0,0,2024-04-26
2,run-4a1a6203dba7,5,1,2024-03-29,0.4,experiment-de5f4d68afa0,2,2024-04-26
2,run-4a1a6203dba7,5,1,2024-03-29,0.4,experiment-de5f4d68afa0,1,2024-04-26
