security_id,current_ticker,current_exchange,company_name,sector,listing_date,identity_status,historical_identity_intervals,candidate_sources,known_evidence_tags,required_edge_case,plan_input_status,priority_rank,priority_score,priority_tier
KBS:HOSE:BCM,BCM,HOSE,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Real Estate,2018-02-21,VERIFIED_TRANSFER,"[{""effective_from"":""2018-07-10"",""effective_to"":""2020-08-30"",""evidence_id"":""EV-BCM-001"",""exchange"":""UPCOM"",""ticker"":""BCM""},{""effective_from"":""2020-08-31"",""effective_to"":null,""evidence_id"":""EV-BCM-001"",""exchange"":""HOSE"",""ticker"":""BCM""}]",A6_VERIFIED_TRANSFER;CURRENT_500;REPRESENTATIVE_PILOT_55,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,YES,OFFLINE_EVIDENCE_AVAILABLE,1,100.0,HIGH
KBS:HOSE:CTR,CTR,HOSE,Tổng Công ty cổ phần Công trình Viettel,Construction & Materials,2017-10-31,VERIFIED_TRANSFER,"[{""effective_from"":""2018-12-06"",""effective_to"":""2022-02-22"",""evidence_id"":""EV-CTR-001"",""exchange"":""UPCOM"",""ticker"":""CTR""},{""effective_from"":""2022-02-23"",""effective_to"":null,""evidence_id"":""EV-CTR-001"",""exchange"":""HOSE"",""ticker"":""CTR""}]",A6_VERIFIED_TRANSFER;CURRENT_500;REPRESENTATIVE_PILOT_55,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,YES,OFFLINE_EVIDENCE_AVAILABLE,2,100.0,HIGH
KBS:HOSE:FPT,FPT,HOSE,CTCP FPT,Technology,2006-12-13,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-13"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FPT""}]",A5_R1_1_CAFEF_EVIDENCE;CURRENT_500;REPRESENTATIVE_PILOT_55,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;REPRESENTATIVE_PILOT_EVIDENCE,YES,OFFLINE_EVIDENCE_AVAILABLE,3,100.0,HIGH
VCI:3478,VNM,HOSE,,Food & Beverage,2006-01-19,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-01-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VNM""}]",A5_R1_1_CAFEF_EVIDENCE;REPRESENTATIVE_PILOT_55,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE,YES,OFFLINE_EVIDENCE_AVAILABLE,4,100.0,HIGH
KBS:HOSE:ANV,ANV,HOSE,CTCP Nam Việt,Food & Beverage,2007-12-07,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-07"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ANV""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,5,95.0,HIGH
KBS:HOSE:BVH,BVH,HOSE,Tập đoàn Bảo Việt,Insurance,2009-06-25,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-06-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BVH""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,6,95.0,HIGH
KBS:HOSE:CII,CII,HOSE,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Construction & Materials,2006-05-18,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-05-18"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CII""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,7,95.0,HIGH
KBS:HOSE:DCM,DCM,HOSE,CTCP - Tổng công ty Phân bón Dầu khí Cà Mau,Chemicals,2015-03-31,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-03-31"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DCM""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,8,95.0,HIGH
KBS:HOSE:DGC,DGC,HOSE,CTCP Tập đoàn Hóa chất Đức Giang,Chemicals,2014-08-26,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-08-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGC""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,9,95.0,HIGH
KBS:HOSE:DGW,DGW,HOSE,CTCP Thế Giới Số,Retail,2015-08-03,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-08-03"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGW""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,10,95.0,HIGH
KBS:HOSE:FRT,FRT,HOSE,CTCP Bán lẻ Kỹ thuật số FPT,Retail,2018-04-26,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-04-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FRT""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,11,95.0,HIGH
KBS:HOSE:GAS,GAS,HOSE,Tổng Công ty Khí Việt Nam - CTCP,Utilities,2012-05-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-05-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GAS""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,12,95.0,HIGH
KBS:HOSE:GMD,GMD,HOSE,CTCP Tập đoàn Gemadept,Industrial Goods & Services,2002-04-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2002-04-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GMD""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,13,95.0,HIGH
KBS:HOSE:HCM,HCM,HOSE,CTCP Chứng khoán Thành phố Hồ Chí Minh,Financial Services,2009-05-19,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-05-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HCM""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,14,95.0,HIGH
KBS:HOSE:KDH,KDH,HOSE,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Real Estate,2010-02-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-02-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""KDH""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,15,95.0,HIGH
KBS:HOSE:MBB,MBB,HOSE,Ngân hàng TMCP Quân đội,Banks,2011-11-01,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2011-11-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MBB""}]",CURRENT_500;REPRESENTATIVE_PILOT_55,REPRESENTATIVE_PILOT_EVIDENCE,NO,OFFLINE_EVIDENCE_AVAILABLE,16,95.0,HIGH
