priority_rank,security_id,current_ticker,current_exchange,candidate_sources,liquidity_signal,active_frequency_signal,index_market_importance_signal,index_market_importance_value,size_market_cap_signal,exchange_preference_value,identity_confidence_signal,identity_confidence_value,strategic_relevance_signal,strategic_relevance_value,available_weight,priority_score,priority_tier,popularity_signal,research_eligibility_effect
1,KBS:HOSE:BCM,BCM,HOSE,A6_VERIFIED_TRANSFER;CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_TRANSFER,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,100.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
2,KBS:HOSE:CTR,CTR,HOSE,A6_VERIFIED_TRANSFER;CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_TRANSFER,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,100.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
3,KBS:HOSE:FPT,FPT,HOSE,A5_R1_1_CAFEF_EVIDENCE;CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,100.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
4,VCI:3478,VNM,HOSE,A5_R1_1_CAFEF_EVIDENCE;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,100.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
5,KBS:HOSE:ANV,ANV,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
6,KBS:HOSE:BVH,BVH,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
7,KBS:HOSE:CII,CII,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
8,KBS:HOSE:DCM,DCM,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
9,KBS:HOSE:DGC,DGC,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
10,KBS:HOSE:DGW,DGW,HOSE,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
