security_id,current_ticker,current_exchange,wave,target_start,target_end,estimated_calendar_days,estimated_history_years,estimated_history_days,range_chunk_count,page_size,estimated_pages,estimated_requests,estimate_label,complexity_weight,estimated_work_units,identity_interval_count,required_edge_case
KBS:HNX:IDC,IDC,HNX,1,2017-11-24,2026-09-23,3226,8.832,2228,10,20,116,116,REQUEST_ESTIMATE,0,116,1,NO
KBS:HNX:IDV,IDV,HNX,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:HNX:NTP,NTP,HNX,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HNX:PVI,PVI,HNX,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HNX:VCS,VCS,HNX,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:ANV,ANV,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:BCM,BCM,HOSE,1,2018-02-21,2026-09-23,3137,8.589,2167,9,20,112,112,REQUEST_ESTIMATE,12,124,2,YES
KBS:HOSE:BVH,BVH,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:CII,CII,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:CTR,CTR,HOSE,1,2017-10-31,2026-09-23,3250,8.898,2245,10,20,117,117,REQUEST_ESTIMATE,12,129,2,YES
KBS:HOSE:DCM,DCM,HOSE,1,2015-03-31,2026-09-23,4195,11.486,2897,12,20,150,150,REQUEST_ESTIMATE,0,150,1,NO
KBS:HOSE:DGC,DGC,HOSE,1,2014-08-26,2026-09-23,4412,12.08,3047,13,20,158,158,REQUEST_ESTIMATE,0,158,1,NO
KBS:HOSE:DGW,DGW,HOSE,1,2015-08-03,2026-09-23,4070,11.143,2811,12,20,146,146,REQUEST_ESTIMATE,0,146,1,NO
KBS:HOSE:FPT,FPT,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,8,204,1,YES
KBS:HOSE:FRT,FRT,HOSE,1,2018-04-26,2026-09-23,3073,8.414,2122,9,20,110,110,REQUEST_ESTIMATE,0,110,1,NO
KBS:HOSE:GAS,GAS,HOSE,1,2012-05-21,2026-09-23,5239,14.344,3618,15,20,187,187,REQUEST_ESTIMATE,0,187,1,NO
KBS:HOSE:GMD,GMD,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:HCM,HCM,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:KDH,KDH,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:KHP,KHP,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
