selection_order,priority_rank,security_id,current_ticker,current_exchange,priority_score,priority_tier,wave,listing_date,identity_status,historical_identity_intervals,target_start,target_end,history_target_reason,required_edge_case,known_evidence_tags,selection_reason,research_eligibility_effect
1,1,KBS:HOSE:BCM,BCM,HOSE,100.0,HIGH,1,2018-02-21,VERIFIED_TRANSFER,"[{""effective_from"":""2018-07-10"",""effective_to"":""2020-08-30"",""evidence_id"":""EV-BCM-001"",""exchange"":""UPCOM"",""ticker"":""BCM""},{""effective_from"":""2020-08-31"",""effective_to"":null,""evidence_id"":""EV-BCM-001"",""exchange"":""HOSE"",""ticker"":""BCM""}]",2018-02-21,2026-09-23,IDENTITY_BOUNDARY,YES,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
2,2,KBS:HOSE:CTR,CTR,HOSE,100.0,HIGH,1,2017-10-31,VERIFIED_TRANSFER,"[{""effective_from"":""2018-12-06"",""effective_to"":""2022-02-22"",""evidence_id"":""EV-CTR-001"",""exchange"":""UPCOM"",""ticker"":""CTR""},{""effective_from"":""2022-02-23"",""effective_to"":null,""evidence_id"":""EV-CTR-001"",""exchange"":""HOSE"",""ticker"":""CTR""}]",2017-10-31,2026-09-23,IDENTITY_BOUNDARY,YES,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
3,3,KBS:HOSE:FPT,FPT,HOSE,100.0,HIGH,1,2006-12-13,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-13"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FPT""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,YES,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT;EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
4,4,VCI:3478,VNM,HOSE,100.0,HIGH,1,2006-01-19,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-01-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VNM""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT;EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
5,5,KBS:HOSE:ANV,ANV,HOSE,95.0,HIGH,1,2007-12-07,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-07"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ANV""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
6,6,KBS:HOSE:BVH,BVH,HOSE,95.0,HIGH,1,2009-06-25,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-06-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BVH""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
7,7,KBS:HOSE:CII,CII,HOSE,95.0,HIGH,1,2006-05-18,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-05-18"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CII""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
8,8,KBS:HOSE:DCM,DCM,HOSE,95.0,HIGH,1,2015-03-31,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-03-31"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DCM""}]",2015-03-31,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
9,9,KBS:HOSE:DGC,DGC,HOSE,95.0,HIGH,1,2014-08-26,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-08-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGC""}]",2014-08-26,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
10,10,KBS:HOSE:DGW,DGW,HOSE,95.0,HIGH,1,2015-08-03,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-08-03"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGW""}]",2015-08-03,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
