local_execution_order,plan_id,worker_id,wave,priority_rank,priority_score,priority_tier,security_id,current_ticker,current_exchange,identity_status,historical_identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_history_days,estimated_history_years,range_chunk_count,estimated_pages,estimated_requests,complexity_weight,estimated_work_units,required_edge_case,known_evidence_tags
1,cafef-c1-prep-v1,worker_02,1,2,100.0,HIGH,KBS:HOSE:CTR,CTR,HOSE,VERIFIED_TRANSFER,"[{""effective_from"":""2018-12-06"",""effective_to"":""2022-02-22"",""evidence_id"":""EV-CTR-001"",""exchange"":""UPCOM"",""ticker"":""CTR""},{""effective_from"":""2022-02-23"",""effective_to"":null,""evidence_id"":""EV-CTR-001"",""exchange"":""HOSE"",""ticker"":""CTR""}]",2017-10-31,2017-10-31,2026-09-23,IDENTITY_BOUNDARY,2245,8.898,10,117,117,12,129,YES,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE
2,cafef-c1-prep-v1,worker_02,1,3,100.0,HIGH,KBS:HOSE:FPT,FPT,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-13"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FPT""}]",2006-12-13,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,8,204,YES,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;REPRESENTATIVE_PILOT_EVIDENCE
3,cafef-c1-prep-v1,worker_02,1,10,95.0,HIGH,KBS:HOSE:DGW,DGW,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2015-08-03"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGW""}]",2015-08-03,2015-08-03,2026-09-23,LISTING_BOUNDARY,2811,11.143,12,146,146,0,146,NO,REPRESENTATIVE_PILOT_EVIDENCE
4,cafef-c1-prep-v1,worker_02,1,14,95.0,HIGH,KBS:HOSE:HCM,HCM,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-05-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HCM""}]",2009-05-19,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
5,cafef-c1-prep-v1,worker_02,1,27,95.0,HIGH,VCI:2239,GVR,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GVR""}]",2018-03-21,2018-03-21,2026-09-23,LISTING_BOUNDARY,2147,8.512,9,111,111,0,111,NO,REPRESENTATIVE_PILOT_EVIDENCE
6,cafef-c1-prep-v1,worker_02,1,31,95.0,HIGH,VCI:2423,IMP,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-04"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""IMP""}]",2006-12-04,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
7,cafef-c1-prep-v1,worker_02,1,37,95.0,HIGH,VCI:3084,SSI,HOSE,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""SSI""}]",2006-12-15,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
8,cafef-c1-prep-v1,worker_02,1,45,85.0,HIGH,KBS:HNX:VCS,VCS,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-17"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""VCS""}]",2007-12-17,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
9,cafef-c1-prep-v1,worker_02,1,46,85.0,HIGH,VCI:148,BCC,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""BCC""}]",2006-11-24,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,0,196,NO,REPRESENTATIVE_PILOT_EVIDENCE
10,cafef-c1-prep-v1,worker_02,1,47,85.0,HIGH,VCI:2503,LAS,HNX,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-03-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""LAS""}]",2012-03-01,2012-03-01,2026-09-23,LISTING_BOUNDARY,3674,14.566,15,190,190,0,190,NO,REPRESENTATIVE_PILOT_EVIDENCE
11,cafef-c1-prep-v1,worker_02,1,51,75.0,HIGH,KBS:UPCOM:MPC,MPC,UPCOM,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2017-10-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""MPC""}]",2017-10-16,2017-10-16,2026-09-23,LISTING_BOUNDARY,2255,8.939,10,117,117,0,117,NO,REPRESENTATIVE_PILOT_EVIDENCE
12,cafef-c1-prep-v1,worker_02,2,59,62.5,MEDIUM,KBS:HOSE:SHB,SHB,HOSE,VERIFIED_TRANSFER,"[{""effective_from"":""2009-04-20"",""effective_to"":""2021-10-10"",""evidence_id"":""EV-SHB-001"",""exchange"":""HNX"",""ticker"":""SHB""},{""effective_from"":""2021-10-11"",""effective_to"":null,""evidence_id"":""EV-SHB-001"",""exchange"":""HOSE"",""ticker"":""SHB""}]",,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,3785,15.004,16,196,196,12,208,YES,EXCHANGE_TRANSFER_IDENTITY
13,cafef-c1-prep-v1,worker_02,3,65,42.5,NORMAL,KBS:HNX:IDV,IDV,HNX,PROVISIONAL_CURRENT_UNIVERSE,[],,2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,3785,15.004,16,196,196,14,210,YES,CORPORATE_ACTION_WINDOW;KNOWN_KBS_MISSING_SESSION;KNOWN_PRICE_BASIS_DIFFERENCE;PROVIDER_HISTORY_BOUNDARY_CASE
14,cafef-c1-prep-v1,worker_02,3,199,32.5,NORMAL,KBS:UPCOM:HLS,HLS,UPCOM,PROVISIONAL_CURRENT_UNIVERSE,[],,2011-09-23,2026-09-23,PARTIAL_IDENTITY_UNRESOLVED,3785,15.004,16,196,196,14,210,YES,KNOWN_KBS_MISSING_SESSION;PROVIDER_HISTORY_BOUNDARY_CASE
