execution_order,security_id,ticker,exchange,target_start,target_end,estimated_calendar_days,estimated_history_years,estimated_trading_days,range_chunk_count,page_size,estimated_pages,estimated_requests,complexity,estimate_label
1,VCI:57,ACB,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
2,KBS:UPCOM:ACV,ACV,UPCOM,2016-11-21,2026-09-23,3594,9.84,2500,40,20,157,157,STANDARD,ESTIMATE_NOT_ACTUAL
3,VCI:177,BID,HOSE,2014-01-24,2026-09-23,4626,12.666,3217,51,20,202,202,STANDARD,ESTIMATE_NOT_ACTUAL
4,VCI:1391,CTG,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
5,KBS:HOSE:DGC,DGC,HOSE,2014-08-26,2026-09-23,4412,12.08,3068,49,20,193,193,STANDARD,ESTIMATE_NOT_ACTUAL
6,KBS:HOSE:FPT,FPT,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
7,KBS:HOSE:GAS,GAS,HOSE,2012-05-21,2026-09-23,5239,14.344,3644,58,20,229,229,STANDARD,ESTIMATE_NOT_ACTUAL
8,KBS:HOSE:GMD,GMD,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
9,KBS:HOSE:HCM,HCM,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
10,VCI:2353,HPG,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
11,KBS:HOSE:MBB,MBB,HOSE,2011-11-01,2026-09-23,5441,14.897,3784,60,20,238,238,STANDARD,ESTIMATE_NOT_ACTUAL
12,VCI:2625,MSN,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
13,KBS:HOSE:MWG,MWG,HOSE,2014-07-14,2026-09-23,4455,12.197,3098,49,20,194,194,STANDARD,ESTIMATE_NOT_ACTUAL
14,VCI:2878,PVD,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
15,VCI:2888,PVS,HNX,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
16,KBS:UPCOM:QNS,QNS,UPCOM,2016-12-20,2026-09-23,3565,9.761,2480,40,20,156,156,STANDARD,ESTIMATE_NOT_ACTUAL
17,VCI:2929,REE,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
18,VCI:3084,SSI,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
19,KBS:UPCOM:VEA,VEA,UPCOM,2018-07-02,2026-09-23,3006,8.23,2090,33,20,131,131,STANDARD,ESTIMATE_NOT_ACTUAL
20,KBS:UPCOM:VGI,VGI,UPCOM,2018-09-25,2026-09-23,2921,7.997,2032,33,20,128,128,STANDARD,ESTIMATE_NOT_ACTUAL
21,VCI:3478,VNM,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
22,KBS:HNX:NTP,NTP,HNX,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
23,KBS:HNX:PVI,PVI,HNX,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
24,KBS:HNX:VCS,VCS,HNX,2011-09-23,2026-09-23,5480,15.0,3811,61,20,240,240,STANDARD,ESTIMATE_NOT_ACTUAL
25,KBS:HOSE:BCM,BCM,HOSE,2018-07-10,2026-09-23,2998,8.208,2086,34,20,131,131,TRANSFER_IDENTITY,ESTIMATE_NOT_ACTUAL
26,KBS:HOSE:CTR,CTR,HOSE,2018-12-06,2026-09-23,2849,7.8,1981,33,20,124,124,TRANSFER_IDENTITY,ESTIMATE_NOT_ACTUAL
27,KBS:HOSE:SHB,SHB,HOSE,2011-09-23,2026-09-23,5480,15.0,3811,62,20,240,240,TRANSFER_IDENTITY,ESTIMATE_NOT_ACTUAL
