available_at,company_name,currency,exchange,identity_status,listing_date,price_unit,security_id,ticker,valid_from
2024-01-01T00:00:00+07:00,Synthetic Company 0,VND,HOSE,synthetic,2024-01-01,VND,SYNTHETIC-00,SYN00,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 1,VND,HOSE,synthetic,2024-01-01,VND,SYNTHETIC-01,SYN01,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 2,VND,HOSE,synthetic,2024-01-01,VND,SYNTHETIC-02,SYN02,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 3,VND,HOSE,synthetic,2024-01-01,VND,SYNTHETIC-03,SYN03,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 4,VND,HOSE,synthetic,2024-01-01,VND,SYNTHETIC-04,SYN04,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 5,VND,HOSE,synthetic,2024-01-01,VND,SYNTHETIC-05,SYN05,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 6,VND,HNX,synthetic,2024-01-01,VND,SYNTHETIC-06,SYN06,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 7,VND,HNX,synthetic,2024-01-01,VND,SYNTHETIC-07,SYN07,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 8,VND,HNX,synthetic,2024-01-01,VND,SYNTHETIC-08,SYN08,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 9,VND,HNX,synthetic,2024-01-01,VND,SYNTHETIC-09,SYN09,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 10,VND,HNX,synthetic,2024-01-01,VND,SYNTHETIC-10,SYN10,2024-01-01
2024-01-01T00:00:00+07:00,Synthetic Company 11,VND,HNX,synthetic,2024-01-01,VND,SYNTHETIC-11,SYN11,2024-01-01
